EntityType,ActionType,Source,Syscall,EnVerb,Sentence
FILE,READ,man,read(),read,read from a file descriptor
FILE,READ,man,readlink(),read,read value of a symbolic link
FILE,READ,man,readlink(),place,readlink() places the contents of the symbolic link path in the buffer buf
FILE,ACCESS,man,access(),check,check real user's permissions for a file
FILE,ACCESS,man,access(),access,access() checks whether the calling process can access the file pathname.
FILE,STATUS,man,statfs(),get,get file system statistics
FILE,STATUS,man,stat(),get,get file status
FILE,STATUS,man,stat64(),get,get file status
FILE,STATUS,man,fstat(),get,get file status
FILE,STATUS,man,newfstatat(),get,get file status
FILE,STATUS,man,lstat(),get,get file status
FILE,DIR,man,getcwd(),get,get current working directory
FILE,DIR,man,getdents(),get,get directory entries
FILE,WAIT,man,poll(),wait,wait for some event on a file descriptor
FILE,WAIT,man,ppoll(),wait,wait for some event on a file descriptor
FILE,FD_DUP,man,dup(),duplicate,duplicate a file descriptor
FILE,FD_DUP,man,dup(),create,These system calls create a copy of the file descriptor oldfd
FILE,FD_DUP,man,dup(),share,share file offset and file status flags
FILE,FD_DUP,man,dup2(),duplicate,duplicate a file descriptor
FILE,FD_DUP,man,dup2(),create,These system calls create a copy of the file descriptor oldfd
FILE,FD_DUP,man,dup2(),share,share file offset and file status flags
FILE,FD_OTHER,man,fcntl64(),manipulate,manipulate file descriptor
FILE,FD_OTHER,man,fcntl64(),find,Find the lowest numbered available file descriptor
FILE,CREATE_OPEN,man,mkdir(),create ,create a directory
FILE,CREATE_OPEN,man,open(),open,open and possibly create a file or device
FILE,CREATE_OPEN,man,open(),create,open and possibly create a file or device
FILE,CREATE_OPEN,man,openat(),open,open a file relative to a directory file descriptor
FILE,CREATE_OPEN,man,mmap(),map,map or unmap files or devices into memory
FILE,CREATE_OPEN,man,mmap(),create,mmap() creates a new mapping in the virtual address space of the calling process.
FILE,CREATE_OPEN,man,mmap2(),map,map files or devices into memory
FILE,CREATE_OPEN,man,umask(),set,set file mode creation mask
FILE,CREATE_OPEN,man,link(),make,make a new name for a file
