Syscall,Sentence,FirstLine,Synonym,SynonymSentence
read(),read from a file descriptor,"<read,file descriptor>","<seek,file>",On files that support seeking
readlink(),read value of a symbolic link,"<read,symbolic link>","<place,contents>|<truncate,contents>",readlink() places the contents of the symbolic link path in the buffer buf|It will (silently) truncate the contents
access(),check user's permissions for a file,"<check,user permissions>","<access,file>",access() checks whether the calling process can access the file pathname.
statfs(),get file system statistics,"<get,file system statistics>","<,>",
stat(),get file status,"<get,file status>","<retrieve, information>",retrieve information about the file pointed to by pathname
stat64(),get file status,"<get,file status>","<retrieve, information>",retrieve information about the file pointed to by pathname
fstat(),get file status,"<get,file status>","<retrieve, information>",retrieve information about the file pointed to by pathname
newfstatat(),get file status,"<get,file status>","<retrieve, information>",retrieve information about the file pointed to by pathname
lstat(),get file status,"<get,file status>","<retrieve, information>",retrieve information about the file pointed to by pathname
getcwd(),get current working directory,"<get,current working directory>","<,>",
getdents(),get directory entries,"<get,directory entries>","<,>",
poll(),wait for some event on a file descriptor,"<wait for,event>","<monitor,file descriptor>|<block,file descriptor>",The set of file descriptors to be monitored is specified in the fds argument|should block waiting for a file descriptor to become ready
ppoll(),wait for some event on a file descriptor,"<wait for,event>","<monitor,file descriptor>|<block,file descriptor>",The set of file descriptors to be monitored is specified in the fds argument|should block waiting for a file descriptor to become ready
dup(),duplicate a file descriptor,"<duplicate, file descriptor>","<allocate, file descriptor>|<create,a copy>|<share,file offset and file status flags>",allocates a new file descriptor|These system calls create a copy of the file descriptor oldfd|share file offset and file status flags
dup2(),duplicate a file descriptor,"<duplicate, file descriptor>","<allocate, file descriptor>|<create,a copy>|<share,file offset and file status flags>",allocates a new file descriptor|These system calls create a copy of the file descriptor oldfd|share file offset and file status flags
fcntl(),manipulate file descriptor,"<manipulate,file descriptor>","<find,file descriptor>|<get,file descriptor>|<set,lock>",find the lowest numbered available file descriptor|get a new file descriptor or the file status flags|set or clear a file segment lock
fcntl64(),manipulate file descriptor,"<manipulate,file descriptor>","<find,file descriptor>|<get,file descriptor>|<set,lock>",find the lowest numbered available file descriptor|get a new file descriptor or the file status flags|set or clear a file segment lock
mkdir(),create a directory,"<create,directory>","<,>",
open(),open and possibly create a file or device,"<open,file or device>","<,>",
open(),open and possibly create a file or device,"<create,file or device>","<,>",
openat(),open a file relative to a directory file descriptor,"<open,file>","<,>",
mmap(),map or unmap files or devices into memory,"<map,files or devices into memory>","<create,new mapping>",creates a new mapping in the virtual address space of the calling process.
mmap(),map or unmap files or devices into memory,"<unmap,files or devices into memory>","<create,new mapping>",creates a new mapping in the virtual address space of the calling process.
mmap2(),map files or devices into memory,"<map,files or devices>","<,>",
umask(),set file mode creation mask,"<set,mask>","<,>",
link(),make a new name for a file,"<make,new name>","<create,new link>",creates a new link (also known as a hard link) to an existing file.
linkat(),create a file link relative to directory file descriptors,"<create,file link>","<,>",
symlinkat(),create a symbolic link relative to a directory file descriptor,"<create,symbolic link>","<,>",
symlink(),make a new name for a file,"<make,new name>","<create,symbolic link>",creates a symbolic link named newpath which contains the string oldpath.
fchdir(),change working directory,"<change,working directory>","<,>",
chdir(),changes the current working directory,"<change,current working directory>","<,>",
write(),write to a file descriptor,"<write,file descriptor>","<,>",
rename(),change the name or location of a file,"<change,name or location>","<rename,file>","renames a file, moving it between directories if required."
fchmod(),change permissions of a file,"<change,permissions of file>","<,>",
chmod(),change permissions of a file,"<change,permissions of file>","<,>",
lchmod(),change permissions of a file,"<change,permissions of file>","<,>",
rm(),removes each specified file,"<remove,file>","<,>",
rmdir(),delete a directory,"<delete,directory>","<,>",
munmap(),unmap files or devices into memory,"<unmap,files or devices>","<,>",
unlink(),delete a name and possibly the file it refers to,"<delete,file>","<,>",
unlinkat(),remove a directory entry relative to a directory file descriptor,"<remove,directory\>","<,>",
remove(),remove a file or directory,"<remove,file or directory>","<,>",
